iso3,country_elcano,year,SOFT,log_SOFT,SOFT_SHARE,SOFT_RANK,ECONOMIC,MILITARY,GLOBAL,exports_pct_gdp,gdp_pc_usd,fuel_exp_pct,fuel_imp_pct,fuel_net,energy_imp_net_pct,gov_index,gov_cf,gpr_global,gprc,brent,gscpi,log_gdp_pc,nbrand_res,stock_ret,stock_vol,z_nbrand,z_fuelnet,z_gpr,z_brent,z_gscpi,z_gov,z_lgdp,exp_gpr,exp_brent,exp_gscpi,cush_gpr,cush_brent,cush_gscpi,brand_strong,brand_tercile,panelid
BRA,Brazil,2013,41.43376159667969,3.724096,0.012398,15,93.96416473388672,71.2588882446289,206.6568145751953,11.7422306467311,12458.8903396625,7.66385116284542,19.5533274344659,-11.88947627162048,15.7799289306747,-0.0006503177185853,0,83.03660519917806,0.0345126166939735,108.555,-0.5207854468038104,9.430189730563564,1.76199144555439,-0.168369,0.204695,0.6988781822243915,-0.6050093926967784,-0.8734691146977848,1.2618157970124662,-0.7616957440086431,0.2759502465399865,0.6361321882566336,0.5284570186226994,-0.7634104090457137,0.46083307950239,0.3693270805587536,-0.5335308789650475,0.3220661849114988,1,3,19
BRA,Brazil,2014,38.77421188354492,3.657755,0.011322,17,87.72463989257812,58.59369659423828,185.0925445556641,11.0119428189165,12274.9941630213,9.34729459467066,20.1329971568129,-10.78570256214224,14.2246121049324,-0.0369305709997812,0,100.29158528645831,0.0392739012216528,98.9696062992126,-0.6866222838802493,9.415319477144996,1.706543362993581,-0.029555,0.25195,0.6558458562016846,-0.5673155951246128,-0.08321201689985853,0.865198790953089,-0.9100874235702958,0.22222503506607025,0.622240238524282,0.04720747488906259,-0.4908407669906472,0.516306788318208,0.030960826787736775,-0.3219158830856726,0.338617667647297,1,3,19
BRA,Brazil,2015,40.4198112487793,3.69932,0.011304,17,85.89068603515625,57.82590866088867,184.13641357421875,12.9001914186486,8936.1955889444,7.36062490155865,15.6211641894135,-8.26053928785485,8.61387332542045,-0.1592247833808263,0,105.95364507039388,0.0362942605279386,52.31654901960784,-0.5098499600908116,9.097865228260668,1.831095540760956,-0.142856,0.232642,0.7525087104067123,-0.48108143998909203,0.17610343346740645,-1.0651753260989296,-0.7519106126182147,0.041127004374728125,0.3256710850816233,-0.08472009335952316,0.5124360797205237,0.36173024026145106,-0.06375260819951103,0.38561261351636256,0.27220515661425476,1,3,19
BRA,Brazil,2016,41.1605224609375,3.71748,0.01162,16,77.85646057128906,55.03166198730469,174.04864501953125,12.4666790428125,8836.28546025694,6.45092898767891,12.3737577498111,-5.922828762132189,2.67300702990516,-0.169299267232418,0,98.6786880493164,0.0410254455637186,43.638000000000005,-0.3789014579398476,9.08662187052076,1.8238565047206368,0.328814,0.265847,0.7468906160634948,-0.40124878354670923,-0.15708074831668867,-1.4242696144027738,-0.6347371998057909,0.026208316480731204,0.31516742007006354,0.06302845918067812,0.5714864502216536,0.25468752929391814,0.04707536470698952,0.4268378668779906,0.1902237256580239,1,3,19
BRA,Brazil,2017,45.309757232666016,3.813522,0.012408,16,77.67923736572266,54.528541564941406,177.5175323486328,12.5189678705014,10080.5078722821,8.70889192124879,14.7169891147575,-6.008097193508709,1.14058560979895,-0.2239631190896031,0,107.37731170654295,0.0386392866106083,54.1248046875,0.2958228956892415,9.21835892451109,1.855732872536686,0.237888,0.192065,0.7716293299906285,-0.4041606947147347,0.2413056335524858,-0.9903547217944477,-0.030990276979342878,-0.05474004345059988,0.4382375844047602,-0.09752625249515186,0.4002624523744618,0.012525051873373268,-0.0752541168693309,0.30885424794611177,0.009664697385148881,1,3,19
BRA,Brazil,2018,46.00657653808594,3.828784,0.011867,17,85.51839447021484,29.01332664489746,160.53829956054688,14.6349994958796,9300.66072904004,12.7686622344956,15.1324917647007,-2.3638295302050985,-0.816754027000633,-0.2799564749002456,0,98.5529073079427,0.0578830905724316,71.335,0.4342439583858455,9.137840722751028,1.8976963441459744,0.140043,0.221878,0.8041964758311565,-0.27970920033706087,-0.1628413532628588,-0.2782445725806336,0.09286962256028819,-0.13765718459471069,0.3630166194416864,0.04554822470295908,0.07782756689465632,-0.025976487861942878,0.03662972178648532,0.0625886550191962,-0.020890199993045276,1,3,19
BRA,Brazil,2019,46.93561553955078,3.848777,0.011786,17,81.23844146728516,38.3258056640625,166.49986267089844,14.1229191909095,9029.83304401079,13.7087051192779,13.881883250891,-0.1731781316131009,-4.05963612353002,-0.2334185168147087,0,90.94625282287598,0.0996052178864677,64.30062256809337,-0.0488145355872009,9.108289157204757,1.897715554281608,0.277228,0.180218,0.8042113844949254,-0.2048986031461372,-0.5112168753969966,-0.5693076007278519,-0.3393736745917349,-0.06874196450704906,0.3354092309510186,0.10474762367357747,0.11665033214961566,0.0695371918684182,0.08423923145708116,0.09381152511983532,0.055922601346389864,1,3,19
BRA,Brazil,2020,47.8905029296875,3.868917,0.011821,17,82.76793670654297,34.558387756347656,165.21682739257812,16.4535520099709,7074.19407495707,11.8904796185398,10.0774648671464,1.8130147513934,-11.1677354621271,-0.2328699765106045,0,77.29380416870117,0.0460371481409917,41.95725490196079,1.642755080402542,8.864208804356167,2.0040965219429285,0.028412,0.454539,0.8867718675917494,-0.13707025044265309,-1.1364824159371796,-1.4938141849798308,1.1742517709808786,-0.06792966466968163,0.10738675567878643,0.15577792937618062,0.2047574844499731,-0.16095498433107794,0.13813948536249135,0.18157317688909125,-0.14273035205347076,1,3,19
BRA,Brazil,2021,47.48146438598633,3.860339,0.012398,17,83.38745880126953,32.54820251464844,163.41712951660156,19.1094303686964,7972.53696080695,13.6578322774084,13.6008473721902,0.0569849052181989,-3.84763107467013,-0.263435107966264,0,82.07023620605469,0.0393815630426009,70.85533596837945,3.060949399439848,8.983758034910712,2.0635359715606727,-0.129428,0.210067,0.9329018265809698,-0.19703855099557913,-0.9177276390220483,-0.2980917398514034,2.443259553912354,-0.11319170125073466,0.21907092505086337,0.1808277242014983,0.058735564484071655,-0.4814163222089953,0.16869451420405762,0.05479451539245478,-0.4491141663346644,1,3,19
BRA,Brazil,2022,49.56071472167969,3.903198,0.011918,17,88.76947021484375,29.120969772338867,167.45115661621094,19.6307650034838,9281.33282136864,16.9977876592036,17.7848730964223,-0.7870854372186997,-7.28721052757992,-0.3004498407244684,0,157.58319346110025,0.0907760147626201,100.93130952380952,2.1971575150332874,9.135760438459762,2.000587936699437,0.048498,0.210908,0.8840489134857926,-0.22586349613721027,2.540673943863645,0.9463686295641772,1.6703340038445316,-0.16800455852799448,0.3610731956149495,-0.5738454995057571,-0.21375012730794551,-0.3772674778251903,-0.5073074903467766,-0.1889655678040391,-0.33352290386488487,1,3,19
BRA,Brazil,2023,49.99709701538086,3.911965,0.011572,17,97.65980529785156,29.363887786865234,177.0207977294922,17.9693243032658,10377.5897719195,16.2396336722963,15.4477629244906,0.7918707478056994,-13.6808969364254,-0.2802337408065795,0,121.7112553914388,0.1055318620055913,82.49386454183266,-0.6133767102773175,9.24740393052042,1.9119893858150825,0.198457,0.172534,0.8152890655214612,-0.17194224914378212,0.897782817480094,0.18347829282866657,-0.8445468966342577,-0.1380677707429616,0.46537173956002026,-0.154366796880169,-0.0315476703380224,0.14521329291469554,-0.1258535615759742,-0.025720470669265402,0.11839080988171634,1,3,19
BRA,Brazil,2024,50.57299041748047,3.923418,0.011536,17,102.5365219116211,23.10346031188965,176.2129669189453,17.9385794398128,10310.5488778166,16.958206628778,13.1951511742727,3.763055454505301,,-0.2802337408065795,1,134.45275115966797,0.0963578236599763,80.52185039370079,-0.2885998458276854,9.240922813015535,1.9357940222774013,-0.109372,0.12886,0.8337634442517826,-0.07047649223896342,1.481327823992613,0.10188181679925232,-0.5539348393370358,-0.1380677707429616,0.45931701029260236,-0.10439878889097597,-0.007180273070943999,0.039039384405428056,-0.08704389380145486,-0.005986649206298593,0.032549611603339024,1,3,19
BRN,Brunei,2011,0.3706220090389251,-0.992573,0.000126,149,3.576469898223877,0.0591709986329078,4.0062642097473145,69.5063427645584,46382.8274255349,95.4421676477545,7.90358958986355,87.53857805789096,-376.268281253854,0.7021069626013426,0,90.0953877766927,,111.2642741935484,0.3204653871614673,10.744684571123353,-3.63471832571466,,,-3.489417672235342,2.790451942093036,-0.550185459458717,1.3739180489158833,-0.008940045181556087,1.3166205860602258,1.864147322530695,-1.5352660838579262,3.8338522878740013,-0.024946766439272672,5.3571846045973945,-13.377911926047439,0.0870496876783256,0,1,20
BRN,Brunei,2012,0.3694649934768677,-0.995699,0.000118,150,4.808473110198975,0.0954570025205612,5.273396015167236,70.1597309927892,46968.5971164922,95.7471803171174,9.63626118317921,86.11091913393818,-378.756554213713,0.6187073290348056,0,81.47523371378581,,111.57068273092368,-0.2780538635436023,10.757234510925263,-3.69116694270944,,,-3.533226496235456,2.741697486338686,-0.9449780293641127,1.3865963843623275,-0.5444982385711806,1.193119161870013,1.8758716104742004,-2.590843887752873,3.8016278215725037,-1.4928494520064481,9.15403827181813,-13.432012148005846,5.274575238719763,0,1,20
